Geography,ACS2012,ACS2012_moe,ACS2017,ACS2017_moe
6937,34669,3457,43052,6189
6952.01,33985,4483,36926,6437
6952.02,30714,2332,37838,4467
6961,29448,7811,28010,3910
6962,38233,3337,43423,6480
6963,43082,5633,35249,5187
6964,21088,2060,21224,3035
6965,35643,5198,35903,4441
6966,32487,4137,32380,3446
6967,21143,1971,21543,3832
6968,16016,2262,22360,2613
6970,23832,2733,25208,4853
7001,33497,3768,36152,3486
7011,35435,3045,42105,6630
7012,41170,2814,43607,4272
7021,38436,3265,37505,3452
7023,27407,3500,31589,3528
7024,33699,3155,40500,5482
7025,21253,2962,22279,2448
7026,54177,10756,46869,4919
7027,34442,4987,35776,5373
7028,33536,3826,30742,4829
7029,53110,11237,62572,8401
7030,46667,5000,61333,6880
7051.01,37405,5072,38277,3597
7051.02,29113,3695,33085,3219
7052,59752,6266,61610,8497
7053,56919,7629,60559,7254
7054,44996,5237,62086,11725
7071,39332,4968,36664,4054
7081,32718,2103,34042,2334
7091,33224,3136,36695,5533
7092,25663,3187,24471,5423
7101,36803,4850,39146,3175
7111,32250,3340,31035,2788
7121,35834,2369,42290,4245
7131,34209,2612,36717,2755
7141.01,31097,4180,34600,3641
7141.03,38604,2287,48106,5337
7141.04,36900,2761,39676,2989
7151,41657,4581,48703,6011
7161.01,26423,2300,30630,2649
7161.02,46197,4310,46516,4722
8701,34727,2075,40033,3758
8702,25278,3022,28705,7393
8703,15309,1776,12656,1522
8705.01,29705,2855,31210,2721
8705.02,18770,3042,21287,2086
8707.01,38397,4439,53250,8376
8707.03,37698,5129,46414,4869
8707.04,45348,5445,50304,6669
9800,18249,2671,17995,1585
9901,-,**,-,**
5261.01,45907,5258,44600,3927
5261.02,41975,3364,47182,4371
5281,37086,3265,42190,3652
5291,43525,4999,49763,5217
5301,27551,2894,29961,3252
5302,24546,2670,25555,4464
5303.01,31833,2998,29682,3013
5303.02,43162,5179,44776,4721
5304,35953,3089,34958,3802
5305,40401,3506,40495,4272
5306,42738,4061,45301,4049
5331.01,46725,3699,46935,4252
5331.02,40280,3508,48801,6397
5351,45388,4111,46403,7522
5352,34097,2754,41589,3892
5381,6391,3528,6998,3356
5382.01,32741,2563,45221,4315
5382.02,44404,3947,50378,8786
8401,30773,2934,39635,6505
8501,41233,3842,39778,4043
8502,34173,2781,42110,4300
8601,40357,3704,46301,4403
8811,41589,3704,41349,4393
8812,4311,321,3536,351
8813,18026,2644,22570,3130
8815,33319,6287,42496,10869
8901,26186,2753,26589,3853
8902.01,28237,3150,39732,3883
8902.02,31507,2620,37820,3611
8003,12839,1561,12202,1524
8004,21673,2881,25731,2723
8005,25689,2500,27723,2607
8006,15503,2551,13307,1749
8007,25425,3588,19782,2861
8150,33121,4204,33757,2942
8200,38353,4439,36094,3048
8250,31576,3094,32594,3162
8301,39095,5114,34236,2936
9001,31440,3199,38712,4925
9002,26701,2958,32541,3408
9011,37611,3430,37910,4444
9022,39041,3687,38958,3604
9025,39712,4836,43686,4677
9031,21206,2308,29032,3799
9032,31187,3078,37428,3913
9041,28947,3096,33478,3361
9044,26644,3274,29326,2803
9045,23532,1995,24839,2941
9051,25997,2534,31014,2736
9061,31443,2540,36138,3493
9071,25194,1972,27931,2674
9072,26210,2496,29660,3469
9073,25795,2229,30129,2946
9081,26825,3435,28663,3364
