geography,before,beforemoe,after,aftermoe
6961,51667,5489,46594,13329
6962,74943,11135,74896,9259
6963,87950,7487,79063,24038
6964,39258,8447,50172,7154
6965,60870,9556,51278,5238
6966,65819,15181,78289,11234
6967,40911,5286,39705,11350
6968,34028,6305,39962,11203
6970,42316,11898,47969,8964
7001,76296,10510,74083,9212
7011,81500,7588,85000,4835
7012,97807,7929,94013,10627
7021,80000,11853,84632,7977
7023,68108,7891,77500,23342
7024,65717,9890,73079,5762
7025,32350,7703,40510,5578
7026,99028,36395,84609,24179
7027,50572,5691,53502,6331
7028,72727,13118,70854,11119
7029,84750,8530,92132,19608
7030,72013,8548,92955,19463
7051.01,78321,10144,77378,7201
7051.02,53158,8190,59189,7137
7052,87500,18442,81071,12080
7053,85227,15844,93036,10769
7054,96932,16768,98510,19946
7071,81434,12886,84833,13672
7081,74032,3485,81400,7042
7091,80794,8996,82058,10662
7092,49866,7955,49881,10907
7101,80539,11136,85296,8246
7111,67415,6297,62178,6041
7121,88333,8900,92279,20626
7131,83188,6357,82500,9405
7141.01,60028,13162,69444,9816
7141.03,113533,3973,117500,16526
7141.04,87949,8085,93629,7439
7151,100375,6739,106719,13163
7161.01,79512,6879,80060,14040
7161.02,108720,8946,108370,13287
8701,81120,8149,93531,9227
8702,58524,5116,54880,9764
8703,41528,7313,24240,6190
8705.01,64167,12631,68883,7820
8705.02,56429,17193,66458,17102
8707.01,81652,16752,77979,3025
8707.03,67763,9538,77500,7547
8707.04,72222,15497,73595,8541
9800,-,**,-,**
9901,-,**,-,**
5261.01,118000,8905,102596,8643
5261.02,109826,10927,107455,23011
5281,97762,12656,100507,16384
5291,87885,13976,101667,8934
5301,51865,10510,59632,11345
5302,44430,7581,42125,10954
5303.01,56087,6391,47354,7502
5303.02,78529,8167,81984,6618
5304,51593,9559,56806,7781
5305,80897,6870,80417,7239
5306,107463,10453,94071,12288
5331.01,107924,8757,113623,10354
5331.02,96930,12988,109505,9484
5351,83566,7858,79157,8080
5352,87257,6318,86553,9088
5381,-,**,-,**
5382.01,96972,10298,101219,7850
5382.02,102917,12070,102500,9682
8401,70013,17933,75885,7137
8501,103018,13358,82074,14428
8502,89910,4435,89577,6623
8601,92973,4735,100179,10780
8811,93348,11906,82769,10769
8812,48462,2037,35509,8930
8813,40869,5397,43919,12661
8815,65944,13646,75331,18107
8901,51059,11060,54263,10263
8902.01,74911,12418,83625,9825
8902.02,76025,6700,75991,8490
8003,29394,7402,25063,7394
8004,48721,7991,54840,8966
8005,52283,3903,53979,6474
8006,28727,14028,25417,5391
8007,37182,8829,36976,11490
8150,75333,18374,76932,13804
8200,75278,10734,74265,3742
8250,77634,7781,85714,7488
8301,75242,14912,68846,16216
9001,72663,9991,83520,6822
9002,49766,11047,64963,12206
9011,81705,11570,81441,13038
9022,82885,8232,84375,10401
9025,82661,6984,84457,16208
9031,39597,4399,50380,11426
9032,75764,10206,76071,10326
9041,63105,10163,70982,9056
9044,43209,10908,61250,19662
9045,57167,9279,42108,6304
9051,62857,15763,75000,12867
9061,66641,10553,89213,7105
9071,61250,5271,70000,3941
9072,61979,15260,63850,13874
9073,63849,7391,64375,12417
9081,67794,7199,75574,7089
