Geography,ACS2012,ACS2012moe,ACS2017,ACS2017moe
4003,6801,265,7293,299
4051,3246,227,3082,260
4052,4507,328,4004,296
4053,6103,295,6229,520
4054.01,3045,199,3391,184
4054.02,3957,329,4087,519
4055,4948,593,5219,390
4056,8049,565,7328,636
4057,2196,219,2182,264
4058,7403,326,7423,370
4059,4447,203,4642,192
4060.01,4016,297,4334,205
4060.02,4816,282,4467,360
4061,3769,456,4110,457
4101.01,5395,241,5461,178
4101.02,3898,241,4137,175
4153,2809,478,2406,356
4154,6040,602,5638,689
4155,2778,429,2892,396
4156,4442,511,4651,456
4157,3200,317,2943,353
4158,2583,320,2761,443
4159,1676,300,1489,194
4160,4627,547,4988,572
4161,5453,522,4926,493
4162,3007,409,2947,387
4163,3252,333,3694,373
4164,3309,274,3353,299
4165,4731,371,5109,502
4166,2832,306,2939,351
4167,6463,493,6758,711
4168,3176,509,2925,393
4171,1543,303,1673,253
4172,1988,204,1475,183
4173,2077,324,1897,318
4174,2642,310,2961,312
4175,4494,311,4644,330
4204,2653,217,3118,210
4205,5843,339,4808,326
4206,5651,309,6323,388
4207,3579,222,3556,255
4301,4087,292,4278,322
4302.01,3256,247,3317,263
4302.02,4912,211,4958,202
4302.03,4240,255,4460,249
4303.01,3527,192,3555,222
4303.02,2599,179,2925,238
4304,4985,304,4184,428
4305,6377,280,7002,343
4306.01,5292,373,4991,291
4306.02,3763,245,4147,267
4601,3333,205,3267,194
4602.02,4298,236,4049,229
4602.03,2911,201,3022,237
4602.04,6046,346,6345,282
4603.01,4814,201,5061,244
4603.02,3927,280,3852,211
4621.01,5878,252,6456,278
4621.02,4078,205,3932,187
4622.01,5438,271,5178,260
4622.02,2655,160,2815,196
4641.01,5314,212,5312,247
4641.02,4929,212,5027,249
4661.01,4181,200,4520,305
4661.02,4928,236,4991,254
4662.01,2291,112,2831,212
4662.02,4610,192,4617,240
4663,5096,312,4865,302
4664,2429,191,2483,177
4681.01,7273,161,7127,166
4681.02,3970,159,4196,169
4701,5055,135,5220,141
4711,3504,254,4214,347
4712,3316,346,3151,266
